"policy","mean","median","p10","p90"
"meta_d50_b20_h05",2061.536,2061,2039,2085
"meta_recommended",2062.104,2061,2039.9,2087
"meta_d20_b10_h05",2062.787,2063,2041,2085
"meta_d30_b10_h05",2063.207,2063,2040,2087
"two_dual_bot",2063.965,2063,2040,2088
"mal_or_multi",2074.228,2074.5,2048,2099
"two_plus_bn",2092.962,2094,2066,2119
"multi_resin",2096.943,2096,2073,2123
"two_dual_tied_01_bot",2171.422,2172,2142,2200
"meta_tied_01",2171.698,2172,2143,2200
"two_dual_tied_05_bot",2190.841,2191,2160,2223
"meta_tied_05",2191.586,2191,2162,2222
"two_dual_tied_10_bot",2193.689,2194,2164,2224
"meta_lenient_d20_b10_h05",2195.291,2195,2164,2227
"meta_tied_10",2195.847,2195,2163,2229
"meta_lenient_recommended",2196.929,2197,2167,2228
"meta_lenient_d30_b10_h05",2200.369,2200,2169,2232
"meta_lenient_d50_b20_h05",2208.928,2208.5,2178,2241.1
"two_either_top2_bot",2214.276,2213,2183,2247.1
"greedy",2280.891,2280,2241,2325
